"model","aircraft_code","range","all_seats","occupied_seats","occupancy_air","flight_id","sum_amount","scheduled_departure","scheduled_arrival","departure_airport","arrival_airport","actual_departure","actual_arrival","time_fly","city","airport_name","longitude","latitude"
"Boeing 737-300","733",4200,"130","113","0.87",136119,"1653000.00","2017-01-03 10:05:00+00","2017-01-03 11:45:00+00","AAQ","SVO","2017-01-03 10:08:00+00","2017-01-03 11:49:00+00","01:41:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","109","0.84",136120,"1605400.00","2017-02-24 10:05:00+00","2017-02-24 11:45:00+00","AAQ","SVO","2017-02-24 10:07:00+00","2017-02-24 11:46:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","97","0.75",136122,"1431000.00","2017-01-08 10:05:00+00","2017-01-08 11:45:00+00","AAQ","SVO","2017-01-08 10:08:00+00","2017-01-08 11:48:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","107","0.82",136130,"1556600.00","2017-02-13 10:05:00+00","2017-02-13 11:45:00+00","AAQ","SVO","2017-02-13 10:07:00+00","2017-02-13 11:46:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","124","0.95",136131,"1812800.00","2017-01-28 10:05:00+00","2017-01-28 11:45:00+00","AAQ","SVO","2017-01-28 10:07:00+00","2017-01-28 11:46:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","116","0.89",136132,"1714000.00","2017-02-15 10:05:00+00","2017-02-15 11:45:00+00","AAQ","SVO","2017-02-15 10:09:00+00","2017-02-15 11:48:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","115","0.88",136135,"1678600.00","2017-02-01 10:05:00+00","2017-02-01 11:45:00+00","AAQ","SVO","2017-02-01 10:08:00+00","2017-02-01 11:48:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","109","0.84",136146,"1604200.00","2017-02-09 10:05:00+00","2017-02-09 11:45:00+00","AAQ","SVO","2017-02-09 10:08:00+00","2017-02-09 11:48:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","115","0.88",136159,"1700600.00","2017-01-04 10:05:00+00","2017-01-04 11:45:00+00","AAQ","SVO","2017-01-04 10:07:00+00","2017-01-04 11:45:00+00","01:38:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","120","0.92",136164,"1738400.00","2017-01-07 10:05:00+00","2017-01-07 11:45:00+00","AAQ","SVO","2017-01-07 10:07:00+00","2017-01-07 11:46:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","110","0.85",136165,"1567600.00","2017-02-22 10:05:00+00","2017-02-22 11:45:00+00","AAQ","SVO","2017-02-22 10:11:00+00","2017-02-22 11:52:00+00","01:41:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","110","0.85",136172,"1617600.00","2017-01-15 10:05:00+00","2017-01-15 11:45:00+00","AAQ","SVO","2017-01-15 10:05:00+00","2017-01-15 11:44:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","99","0.76",136178,"1434600.00","2017-01-29 10:05:00+00","2017-01-29 11:45:00+00","AAQ","SVO","2017-01-29 10:10:00+00","2017-01-29 11:49:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","118","0.91",136181,"1689600.00","2017-01-31 10:05:00+00","2017-01-31 11:45:00+00","AAQ","SVO","2017-01-31 10:05:00+00","2017-01-31 11:44:00+00","01:39:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","104","0.80",136185,"1520000.00","2017-01-14 10:05:00+00","2017-01-14 11:45:00+00","AAQ","SVO","2017-01-14 10:06:00+00","2017-01-14 11:49:00+00","01:43:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","100","0.77",136202,"1495600.00","2017-01-05 10:05:00+00","2017-01-05 11:45:00+00","AAQ","SVO","2017-01-05 10:07:00+00","2017-01-05 11:49:00+00","01:42:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","107","0.82",136204,"1457800.00","2017-02-23 10:05:00+00","2017-02-23 11:45:00+00","AAQ","SVO","2017-02-23 10:06:00+00","2017-02-23 11:46:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","112","0.86",136209,"1615200.00","2017-01-06 10:05:00+00","2017-01-06 11:45:00+00","AAQ","SVO","2017-01-06 10:09:00+00","2017-01-06 11:49:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","114","0.88",136215,"1664000.00","2017-02-28 10:05:00+00","2017-02-28 11:45:00+00","AAQ","SVO","2017-02-28 10:09:00+00","2017-02-28 11:49:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","130","1.00",136226,"1886000.00","2017-01-30 10:05:00+00","2017-01-30 11:45:00+00","AAQ","SVO","2017-01-30 10:08:00+00","2017-01-30 11:48:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","123","0.95",136249,"1800600.00","2017-02-14 10:05:00+00","2017-02-14 11:45:00+00","AAQ","SVO","2017-02-14 10:08:00+00","2017-02-14 11:46:00+00","01:38:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","99","0.76",136250,"1407800.00","2017-02-08 10:05:00+00","2017-02-08 11:45:00+00","AAQ","SVO","2017-02-08 10:06:00+00","2017-02-08 11:47:00+00","01:41:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
"Boeing 737-300","733",4200,"130","116","0.89",136264,"1690800.00","2017-02-18 10:05:00+00","2017-02-18 11:45:00+00","AAQ","SVO","2017-02-18 10:07:00+00","2017-02-18 11:47:00+00","01:40:00","Moscow","Sheremetyevo International Airport","37.4146","55.972599"
